Month,Avg Capacity (1000 m3/d)
2007-02,0.00
2007-03,0.00
2007-04,0.00
2007-05,"15,796,840.30"
2007-06,"6,510,108.15"
2007-07,"15,796,840.30"
2007-08,"22,306,948.45"
2007-09,"15,796,840.30"
2007-10,0.00
2007-11,0.00
2007-12,0.00
2008-01,"15,796,840.30"
2008-02,0.00
2008-03,0.00
2008-04,0.00
2008-05,"67,956,037.30"
2008-06,"15,796,840.30"
2008-07,0.00
2008-08,"15,796,840.30"
2008-09,"15,796,840.30"
2008-10,0.00
2008-11,0.00
2008-12,0.00
2009-01,0.00
2009-02,0.00
2009-03,0.00
2009-04,0.00
2009-05,0.00
2009-06,0.00
2009-07,"15,796,840.30"
2009-08,0.00
2009-09,"15,796,840.30"
2009-10,"6,510,108.15"
2009-11,0.00
2009-12,0.00
2010-01,0.00
2010-02,0.00
2010-03,0.00
2010-04,0.00
2010-05,"15,796,840.30"
2010-06,0.00
2010-07,"15,796,840.30"
2010-08,0.00
2010-09,0.00
2010-10,0.00
2010-11,0.00
2010-12,0.00
2011-01,0.00
2011-02,0.00
2011-03,0.00
2011-04,0.00
2011-05,"55,081,678.61"
2011-06,0.00
2011-07,"15,796,840.30"
2011-08,"15,796,840.30"
2011-09,"15,796,840.30"
2011-10,"52,159,197.00"
2011-11,0.00
2011-12,0.00
2012-01,0.00
2012-02,0.00
2012-03,0.00
2012-04,0.00
2012-05,"15,796,840.30"
2012-06,0.00
2012-07,"15,796,840.30"
2012-08,"15,796,840.30"
2012-09,"15,796,840.30"
2012-10,0.00
2012-11,0.00
2012-12,0.00
2013-01,0.00
2013-02,0.00
2013-03,0.00
2013-04,"15,796,840.30"
2013-05,"67,956,037.30"
2013-06,"15,796,840.30"
2013-07,"15,796,840.30"
2013-08,"15,796,840.30"
2013-09,"15,796,840.30"
2013-10,0.00
2013-11,0.00
2013-12,0.00
2014-01,0.00
2014-02,0.00
2014-03,0.00
2014-04,0.00
2014-05,"15,796,840.30"
2014-06,"15,796,840.30"
2014-07,"15,796,840.30"
2014-08,"15,796,840.30"
2014-09,0.00
2014-10,0.00
2014-11,0.00
2014-12,0.00
2015-01,0.00
2015-02,"15,796,840.30"
2015-03,"52,159,197.00"
2015-04,0.00
2015-05,"18,719,321.91"
2015-06,0.00
2015-07,"15,796,840.30"
2015-08,"15,796,840.30"
2015-09,"15,796,840.30"
2015-10,0.00
2015-11,0.00
2015-12,0.00
2016-01,"15,796,840.30"
2016-02,"15,796,840.30"
2016-03,"52,159,197.00"
2016-04,"67,956,037.30"
2016-05,"6,510,108.15"
2016-06,"15,796,840.30"
2016-07,"15,796,840.30"
2016-08,"15,796,840.30"
2016-09,"15,796,840.30"
2016-10,0.00
2016-11,0.00
2016-12,0.00
2017-01,0.00
2017-02,0.00
2017-03,0.00
2017-04,0.00
2017-05,"15,796,840.30"
2017-06,"15,796,840.30"
2017-07,"15,796,840.30"
2017-08,0.00
2017-09,"15,796,840.30"
2017-10,"15,796,840.30"
2017-11,0.00
2017-12,0.00
2018-01,0.00
2018-02,0.00
2018-03,0.00
2018-04,"2,922,481.61"
2018-05,"70,878,518.91"
2018-06,0.00
2018-07,"15,796,840.30"
2018-08,"15,796,840.30"
2018-09,"15,796,840.30"
2018-10,"15,796,840.30"
2018-11,0.00
2018-12,0.00
2019-01,0.00
2019-02,0.00
2019-03,0.00
2019-04,0.00
2019-05,0.00
2019-06,0.00
2019-07,"15,796,840.30"
2019-08,"15,796,840.30"
2019-09,0.00
2019-10,0.00
2019-11,0.00
2019-12,0.00
2020-01,0.00
2020-02,0.00
2020-03,0.00
2020-04,0.00
2020-05,"15,796,840.30"
2020-06,0.00
2020-07,"15,796,840.30"
2020-08,"15,796,840.30"
2020-09,"15,796,840.30"
2020-10,0.00
2020-11,0.00
2020-12,0.00
2021-01,0.00
2021-02,0.00
2021-03,"52,159,197.00"
2021-04,0.00
2021-05,0.00
2021-06,"15,796,840.30"
2021-07,"15,796,840.30"
2021-08,0.00
2021-09,"15,796,840.30"
2021-10,"15,796,840.30"
