Month,Raw_Gas_Sum_E3m3/d
2007-02,"1,192.00"
2007-03,"1,412.00"
2007-04,"17,003.28"
2007-05,"24,357.65"
2007-06,"31,859.25"
2007-07,"46,009.00"
2007-08,"23,293.90"
2007-09,"12,292.70"
2007-10,"12,374.41"
2007-11,"18,125.97"
2007-12,"3,672.00"
2008-01,"4,289.20"
2008-02,353.90
2008-03,"11,701.85"
2008-04,"24,542.43"
2008-05,"54,833.29"
2008-06,"43,928.03"
2008-07,"51,430.77"
2008-08,"37,138.38"
2008-09,"13,168.18"
2008-10,"33,391.93"
2008-11,850.00
2008-12,"2,525.00"
2009-01,"1,628.00"
2009-02,"3,044.00"
2009-03,"8,349.30"
2009-04,"25,459.98"
2009-05,"60,361.89"
2009-06,"67,205.22"
2009-07,"32,836.50"
2009-08,"34,421.37"
2009-09,"35,880.47"
2009-10,"8,064.13"
2009-11,"10,658.84"
2009-12,"7,131.80"
2010-01,"5,365.93"
2010-02,"7,062.67"
2010-03,"29,213.60"
2010-04,"37,852.37"
2010-05,"41,403.67"
2010-06,"35,715.30"
2010-07,"60,806.01"
2010-08,"26,545.31"
2010-09,"4,628.03"
2010-10,"9,952.43"
2010-11,"11,994.58"
2010-12,0.00
2011-01,"6,267.80"
2011-02,"8,596.80"
2011-03,"4,408.20"
2011-04,"7,251.08"
2011-05,"58,248.61"
2011-06,"23,598.68"
2011-07,"13,691.63"
2011-08,"12,381.38"
2011-09,"19,804.17"
2011-10,"8,409.38"
2011-11,"13,351.14"
2011-12,602.80
2012-01,"11,566.50"
2012-02,"7,654.70"
2012-03,"8,792.53"
2012-04,"20,410.83"
2012-05,"53,384.05"
2012-06,"19,587.33"
2012-07,"32,724.87"
2012-08,"35,019.25"
2012-09,"19,393.33"
2012-10,"12,231.65"
2012-11,264.00
2012-12,0.00
2013-01,"1,219.00"
2013-02,"5,262.17"
2013-03,"4,717.00"
2013-04,"7,972.50"
2013-05,"61,125.74"
2013-06,"15,866.83"
2013-07,"22,408.09"
2013-08,"23,531.17"
2013-09,"10,988.75"
2013-10,"9,249.62"
2013-11,"4,093.64"
2013-12,"1,412.00"
2014-01,"2,890.20"
2014-02,"1,102.00"
2014-03,"3,823.23"
2014-04,"19,599.43"
2014-05,"37,709.72"
2014-06,"36,111.01"
2014-07,"35,529.08"
2014-08,"49,042.71"
2014-09,"20,710.65"
2014-10,"15,123.88"
2014-11,"9,356.97"
2014-12,"1,416.60"
2015-01,952.48
2015-02,"1,057.80"
2015-03,"13,887.22"
2015-04,"36,259.08"
2015-05,"60,757.30"
2015-06,"42,091.05"
2015-07,"52,760.95"
2015-08,"34,147.80"
2015-09,"9,379.70"
2015-10,"12,210.45"
2015-11,"6,941.47"
2015-12,"3,421.40"
2016-01,"3,002.77"
2016-02,"13,928.64"
2016-03,"16,173.60"
2016-04,"43,463.98"
2016-05,"39,295.38"
2016-06,"31,894.60"
2016-07,"22,311.72"
2016-08,"15,028.05"
2016-09,"5,064.20"
2016-10,"2,923.50"
2016-11,"2,518.55"
2016-12,"3,072.90"
2017-01,280.00
2017-02,283.00
2017-03,"4,838.63"
2017-04,"4,267.58"
2017-05,"48,185.60"
2017-06,"20,582.70"
2017-07,"35,607.65"
2017-08,"25,732.41"
2017-09,"15,692.91"
2017-10,"8,914.25"
2017-11,0.00
2017-12,"2,690.80"
2018-01,"1,412.00"
2018-02,"3,277.05"
2018-03,"4,774.80"
2018-04,"15,274.78"
2018-05,"52,066.15"
2018-06,"53,529.12"
2018-07,"22,272.85"
2018-08,"10,537.00"
2018-09,"5,681.48"
2018-10,"11,249.98"
2018-11,"2,124.10"
2018-12,"6,145.17"
2019-01,822.80
2019-02,"2,609.00"
2019-03,"7,613.28"
2019-04,"24,648.38"
2019-05,"58,159.90"
2019-06,"22,487.00"
2019-07,"21,955.73"
2019-08,"7,980.60"
2019-09,"5,474.08"
2019-10,"5,283.48"
2019-11,0.00
2019-12,0.00
2020-01,308.00
2020-02,424.90
2020-03,905.68
2020-04,"14,113.26"
2020-05,"40,371.49"
2020-06,"21,901.11"
2020-07,"18,415.03"
2020-08,"31,121.20"
2020-09,"17,694.15"
2020-10,"3,461.60"
2020-11,"8,570.60"
2020-12,"2,170.00"
2021-01,"7,565.35"
2021-02,"8,292.80"
2021-03,"17,638.25"
2021-04,"26,768.55"
2021-05,"36,870.75"
2021-06,"45,114.87"
2021-07,"55,466.29"
2021-08,"26,409.28"
2021-09,"15,808.23"
2021-10,"15,645.19"
